country,latitude,longitude,,,,
Slovakia,46.151241,14.995463,,,,
Slovenia,-9.64571,160.156194,,,,
Solomon Islands,5.152149,46.199616,,,,
Somalia,-30.559482,22.937506,,,,
South Africa,-54.429579,-36.587909,,,,
Spain,35.907757,127.766922,,,,
Sri Lanka,40.463667,-3.74922,,,,
Sudan,7.873054,80.771797,,,,
Suriname,12.862807,30.217636,,,,
Swaziland,3.919305,-56.027783,,,, 
Sweden,-26.522503,31.465866,,,,
Switzerland,60.128161,18.643501,,,,
Syrian Arab Rep.,46.818188,8.227512,,,,
Tajikistan,34.802075,38.996815,,,,
Thailand,38.861034,71.276093,,,,
The former Yugoslav Republic of Macedonia,-6.369028,34.888822,,,,
Timor-Leste,15.870032,100.992541,,,,
Togo,-8.874217,125.727539,,,,
Tonga,8.619543,0.824782,,,,
Trinidad and Tobago,-21.178986,-175.198242,,,,
Tunisia,10.691803,-61.222503,,,,
Turkey,33.886917,9.537499,,,,
Turkmenistan,38.963745,35.243322,,,,
Turks and Caicos Islands,38.969719,59.556278,,,,
U.S. Virgin Islands,21.694025,-71.797928,,,,
Uganda,18.335765,-64.896335,,,,
Ukraine,1.373333,32.290275,,,,
United Arab Emirates,48.379433,31.16558,,,,
United Kingdom,23.424076,53.847818,,,,
United Rep. of Tanzania,55.378051,-3.435973,,,,
United States of America,37.09024,-95.712891,,,,
Uruguay,-32.522779,-55.765835,,,,
Uzbekistan,41.377491,64.585262,,,,
Vanuatu,-15.376706,166.959158,,,,
Venezuela (Bolivarian Republic of),6.42375,-66.58973,,,,
Yemen,15.552727,48.516388,,,,
Zambia,-13.133897,27.849332,,,,
Zimbabwe,-19.015438,29.154857,,,,
